,Month,Day,Year,Artist,Tour,Venue
0,Apr,9,2017,Roy Ayers,,"Croxton Park Hotel, Melbourne, Australia"
0,Apr,9,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,9,2017,Vintage Trouble,,"170 Russell, Melbourne, Australia"
0,Apr,9,2017,Andy White,,"State Library of Victoria, Melbourne, Australia"
0,Apr,8,2017,Amaros,,"Pelly Bar, Pier Hotel, Melbourne, Australia"
0,Apr,8,2017,Jimmy Barnes,Working Class Boy: An Evening of Stories and Songs,"Regent Theatre, Melbourne, Australia"
0,Apr,8,2017,Blondie,Pollinator,"Rochford Winery, Coldstream, Australia"
0,Apr,8,2017,Clouds,,"Rochford Winery, Coldstream, Australia"
0,Apr,8,2017,Alex Lahey,,"Rochford Winery, Coldstream, Australia"
0,Apr,8,2017,Cyndi Lauper,,"Rochford Winery, Coldstream, Australia"
0,Apr,8,2017,Montaigne,,"Rochford Winery, Coldstream, Australia"
0,Apr,8,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,8,2017,Snarky Puppy,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Apr,8,2017,Snarky Puppy,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Apr,8,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,8,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,8,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,7,2017,The Angels,4X4 Across Australia Tour,"York on Lilydale, Melbourne, Australia"
0,Apr,7,2017,Augie March,,"Croxton Park Hotel, Melbourne, Australia"
0,Apr,7,2017,Cough,,"Corner Hotel, Melbourne, Australia"
0,Apr,7,2017,Stephen Cummings,,"Melbourne Athenaeum Library, Melbourne, Australia"
0,Apr,7,2017,House vs. Hurricane,,"Manhattan Hotel, Melbourne, Australia"
0,Apr,7,2017,Rickie Lee Jones,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Apr,7,2017,Melbourne Symphony Orchestra,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Apr,7,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,7,2017,Satellites,,"Wrangler Studios, Melbourne, Australia"
0,Apr,7,2017,The Smith Street Band,,"Second Story Studios, Melbourne, Australia"
0,Apr,7,2017,Jon Stevens,,"Trak Lounge Bar, Melbourne, Australia"
0,Apr,7,2017,Wil Wagner,More Scared Of You Than You Are Of Me Release Tour,"Vinyl. A Record Store, Melbourne, Australia"
0,Apr,7,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,7,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,7,2017,The Wiggles,Wiggle Around Australia,"The Athenaeum Theatre, Melbourne, Australia"
0,Apr,7,2017,Windhand,,"Corner Hotel, Melbourne, Australia"
0,Apr,6,2017,Alter Bridge,The Last Hero,"Festival Hall, Melbourne, Australia"
0,Apr,6,2017,Blondie,Pollinator,"Rod Laver Arena, Melbourne, Australia"
0,Apr,6,2017,Cyndi Lauper,,"Rod Laver Arena, Melbourne, Australia"
0,Apr,6,2017,Like a Storm,,"Festival Hall, Melbourne, Australia"
0,Apr,6,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,6,2017,The Wiggles,Wiggle Around Australia,"Frankston Arts Centre, Melbourne, Australia"
0,Apr,6,2017,The Wiggles,Wiggle Around Australia,"Frankston Arts Centre, Melbourne, Australia"
0,Apr,6,2017,The Wiggles,Wiggle Around Australia,"Frankston Arts Centre, Melbourne, Australia"
0,Apr,5,2017,Crooked Colours,,"Northcote Social Club, Melbourne, Australia"
0,Apr,5,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,5,2017,The Wiggles,Wiggle Around Australia,"Wyndham Cultural Centre, Melbourne, Australia"
0,Apr,5,2017,The Wiggles,Wiggle Around Australia,"Wyndham Cultural Centre, Melbourne, Australia"
0,Apr,5,2017,The Wiggles,Wiggle Around Australia,"Wyndham Cultural Centre, Melbourne, Australia"
0,Apr,4,2017,Harbours,,"Corner Hotel, Melbourne, Australia"
0,Apr,4,2017,I Prevail,Lifelines Tour,"Corner Hotel, Melbourne, Australia"
0,Apr,4,2017,Dara O'Briain,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Apr,4,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,4,2017,Panhandler,,"John Curtin Hotel, Melbourne, Australia"
0,Apr,4,2017,Void of Vision,Spring 2017,"Corner Hotel, Melbourne, Australia"
0,Apr,3,2017,The Wiggles,Wiggle Around Australia,"Karralyka Theatre, Melbourne, Australia"
0,Apr,3,2017,The Wiggles,Wiggle Around Australia,"Karralyka Theatre, Melbourne, Australia"
0,Apr,3,2017,The Wiggles,Wiggle Around Australia,"Karralyka Theatre, Melbourne, Australia"
0,Apr,3,2017,The Wiggles,Wiggle Around Australia,"Karralyka Theatre, Melbourne, Australia"
0,Apr,2,2017,Avalanche City,,"Rod Laver Arena, Melbourne, Australia"
0,Apr,2,2017,Nick Barker,,"Caravan Music Club, Melbourne, Australia"
0,Apr,2,2017,The Chicks,DCX MMXVII World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Apr,2,2017,I Prevail,Lifelines Tour,"Arrow on Swanston, Melbourne, Australia"
0,Apr,2,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,2,2017,Tash Sultana,,"170 Russell, Melbourne, Australia"
0,Apr,2,2017,The Wiggles,Wiggle Around Australia,"Drum Theatre, Melbourne, Australia"
0,Apr,2,2017,The Wiggles,Wiggle Around Australia,"Drum Theatre, Melbourne, Australia"
0,Apr,2,2017,The Wiggles,Wiggle Around Australia,"Drum Theatre, Melbourne, Australia"
0,Apr,2,2017,The Wiggles,Wiggle Around Australia,"Drum Theatre, Melbourne, Australia"
0,Apr,1,2017,The Bennies,,"Pier Hotel, Melbourne, Australia"
0,Apr,1,2017,The Chicks,DCX MMXVII World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Apr,1,2017,Honeyblood,Babes Never Die,"John Curtin Hotel, Melbourne, Australia"
0,Apr,1,2017,I Prevail,Lifelines Tour,"Corner Hotel, Melbourne, Australia"
0,Apr,1,2017,Illy,Two Degrees,"Festival Hall, Melbourne, Australia"
0,Apr,1,2017,The Living End,Staring Down The Highway,"Pier Hotel, Melbourne, Australia"
0,Apr,1,2017,Jessica Mauboy,,"Margaret Court Arena, Melbourne, Australia"
0,Apr,1,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Apr,1,2017,Bec Sandridge,,"Northcote Social Club, Melbourne, Australia"
0,Apr,1,2017,Totally Mild,,"John Curtin Hotel, Melbourne, Australia"
0,Apr,1,2017,The Wiggles,Wiggle Around Australia,"Kingston Arts Centre, Melbourne, Australia"
0,Apr,1,2017,The Wiggles,Wiggle Around Australia,"Kingston Arts Centre, Melbourne, Australia"
0,Apr,1,2017,The Wiggles,Wiggle Around Australia,"Kingston Arts Centre, Melbourne, Australia"
0,Mar,31,2017,Ash Grunwald,Hammer Tour,"Northcote Social Club, Melbourne, Australia"
0,Mar,31,2017,Ian Collard,,"Northcote Social Club, Melbourne, Australia"
0,Mar,31,2017,Jordie Lane,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,31,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Mar,31,2017,SAFIA,,"Rod Laver Arena, Melbourne, Australia"
0,Mar,31,2017,Tash Sultana,,"170 Russell, Melbourne, Australia"
0,Mar,31,2017,The Waifs,"AN EVENING WITH THE WAIFS, THE 25TH ANNIVERSARY TOUR","Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,31,2017,twenty one pilots,Emotional Roadshow World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Mar,30,2017,The Beths,,"The Tote Hotel, Melbourne, Australia"
0,Mar,30,2017,GUM,Flash in the Pan,"John Curtin Hotel, Melbourne, Australia"
0,Mar,30,2017,Jordie Lane,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,30,2017,David O'Doherty,Big Time,"Forum Theatre, Melbourne, Australia"
0,Mar,30,2017,Nick Oliveri,,"Pelly Bar, Pier Hotel, Melbourne, Australia"
0,Mar,30,2017,The Waifs,"AN EVENING WITH THE WAIFS, THE 25TH ANNIVERSARY TOUR","Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,29,2017,Fuck The Fitzroy Doom Scene,,"Cherry Bar, Melbourne, Australia"
0,Mar,29,2017,GUM,Flash in the Pan,"John Curtin Hotel, Melbourne, Australia"
0,Mar,29,2017,Luke Howard,,"Alpha60 Chapter House, Melbourne, Australia"
0,Mar,29,2017,Reece Mastin,,"Palais Theatre, Melbourne, Australia"
0,Mar,29,2017,Mick Thomas & The Roving Commission,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,29,2017,Nick Oliveri,,"Cherry Bar, Melbourne, Australia"
0,Mar,29,2017,Palace of the King,,"Cherry Bar, Melbourne, Australia"
0,Mar,29,2017,Tash Sultana,,"170 Russell, Melbourne, Australia"
0,Mar,29,2017,The Waifs,"AN EVENING WITH THE WAIFS, THE 25TH ANNIVERSARY TOUR","Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,27,2017,Holly Throsby,,"ABC Radio Melbourne, Melbourne, Australia"
0,Mar,26,2017,Balance and Composure,Light We Made,"Corner Hotel, Melbourne, Australia"
0,Mar,26,2017,The Finks,,"Northcote Social Club, Melbourne, Australia"
0,Mar,26,2017,Introvert,Spring 2017,"Corner Hotel, Melbourne, Australia"
0,Mar,26,2017,Invert Beauty,,"Railway Hotel, South Melbourne, Melbourne, Australia"
0,Mar,26,2017,Melbourne Ska Orchestra,,"The Governor Hindmarsh Hotel, Adelaide, Australia"
0,Mar,26,2017,Oslow,Spring 2017,"Corner Hotel, Melbourne, Australia"
0,Mar,26,2017,Holly Throsby,After a Time Tour,"Northcote Social Club, Melbourne, Australia"
0,Mar,25,2017,Balance and Composure,Light We Made,"Arrow on Swanston, Melbourne, Australia"
0,Mar,25,2017,Caligula’s Horse,,"Max Watt's House of Music, Melbourne, Australia"
0,Mar,25,2017,Client Liaison,Diplomatic Immunity Tour,"The Athenaeum Theatre, Melbourne, Australia"
0,Mar,25,2017,Dizzy Dee,Beenie Man – King of the Dancehall Australia Tour 2017,"Trak Lounge Bar, Melbourne, Australia"
0,Mar,25,2017,Introvert,Spring 2017,"Arrow on Swanston, Melbourne, Australia"
0,Mar,25,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,25,2017,Sophie Koh,,"Salon, Melbourne Recital Centre, Melbourne, Australia"
0,Mar,25,2017,Melbourne Ska Orchestra,,"The Triffid, Brisbane, Australia"
0,Mar,25,2017,Luke Million,,"The Athenaeum Theatre, Melbourne, Australia"
0,Mar,25,2017,Oslow,Spring 2017,"Arrow on Swanston, Melbourne, Australia"
0,Mar,25,2017,Spoon,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,25,2017,Wednesday 13,Undead Unplugged,"Corner Hotel, Melbourne, Australia"
0,Mar,25,2017,sleepmakeswaves,'Made of Breath Only' Australasian Tour,"Max Watt's House of Music, Melbourne, Australia"
0,Mar,24,2017,Client Liaison,Diplomatic Immunity Tour,"The Athenaeum Theatre, Melbourne, Australia"
0,Mar,24,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,24,2017,Kingswood,,"170 Russell, Melbourne, Australia"
0,Mar,24,2017,Luke Million,,"The Athenaeum Theatre, Melbourne, Australia"
0,Mar,24,2017,Things of Stone and Wood,,"Northcote Social Club, Melbourne, Australia"
0,Mar,23,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,23,2017,Sadults,,"The Gasometer Hotel (Upstairs), Melbourne, Australia"
0,Mar,23,2017,Six60,,"Prince Bandroom, Melbourne, Australia"
0,Mar,22,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,22,2017,Little Big Town,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,22,2017,Kip Moore,,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,22,2017,The Omnific,,"Knox Club, Melbourne, Australia"
0,Mar,22,2017,Mick Thomas,,"Sun Theatre, Yarraville, Australia"
0,Mar,21,2017,Acceptance,Colliding by Design,"170 Russell, Melbourne, Australia"
0,Mar,21,2017,Endless Heights,,"170 Russell, Melbourne, Australia"
0,Mar,21,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,21,2017,Taking Back Sunday,Tidal Wave,"170 Russell, Melbourne, Australia"
0,Mar,20,2017,2 Unlimited,,"170 Russell, Melbourne, Australia"
0,Mar,20,2017,Dr. Alban,,"170 Russell, Melbourne, Australia"
0,Mar,20,2017,Real McCoy,,"170 Russell, Melbourne, Australia"
0,Mar,20,2017,Technotronic,,"170 Russell, Melbourne, Australia"
0,Mar,19,2017,Acceptance,Colliding by Design,"170 Russell, Melbourne, Australia"
0,Mar,19,2017,Adele,Adele Live 2016/17,"Etihad Stadium, Melbourne, Australia"
0,Mar,19,2017,Cog,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,19,2017,Endless Heights,,"170 Russell, Melbourne, Australia"
0,Mar,19,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,19,2017,Post Malone,,"Corner Hotel, Melbourne, Australia"
0,Mar,19,2017,Taking Back Sunday,Tidal Wave,"170 Russell, Melbourne, Australia"
0,Mar,18,2017,Adele,Adele Live 2016/17,"Etihad Stadium, Melbourne, Australia"
0,Mar,18,2017,Birds of Tokyo,,"Pier Hotel, Melbourne, Australia"
0,Mar,18,2017,Cog,,"Pier Hotel, Melbourne, Australia"
0,Mar,18,2017,Diplo,,"Festival Hall, Melbourne, Australia"
0,Mar,18,2017,Dune Rats,The Kids Will Know It's Bullshit,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,18,2017,Départe,,"Corner Hotel, Melbourne, Australia"
0,Mar,18,2017,Alison Ferrier,,"Brunswick Town Hall, Melbourne, Australia"
0,Mar,18,2017,The Gooch Palms,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,18,2017,Gorguts,Latino America Pleides' Dust Tour 2017,"Corner Hotel, Melbourne, Australia"
0,Mar,18,2017,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,"The Night Cat, Melbourne, Australia"
0,Mar,18,2017,Jeff Lang,Alone in Bad Company Tour,"Brunswick Town Hall, Melbourne, Australia"
0,Mar,18,2017,Anna Lunoe,,"Festival Hall, Melbourne, Australia"
0,Mar,18,2017,Marduk,,"Corner Hotel, Melbourne, Australia"
0,Mar,18,2017,Mgła,Direct Underground Fest,"Corner Hotel, Melbourne, Australia"
0,Mar,18,2017,Pierce Brothers,,"Pier Hotel, Melbourne, Australia"
0,Mar,18,2017,Skegss,2017 Summer Tour,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,18,2017,Suzannah Espie,,"Brunswick Town Hall, Melbourne, Australia"
0,Mar,17,2017,Dragon,,"Memo Music Hall, Melbourne, Australia"
0,Mar,17,2017,Dune Rats,The Kids Will Know It's Bullshit,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,17,2017,The Gooch Palms,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,17,2017,Jelly Mammoth,,"Corner Hotel, Melbourne, Australia"
0,Mar,17,2017,Living Eyes,,"Corner Hotel, Melbourne, Australia"
0,Mar,17,2017,The Living Eyes,,"Corner Hotel, Melbourne, Australia"
0,Mar,17,2017,Mi‐Sex,,"Memo Music Hall, Melbourne, Australia"
0,Mar,17,2017,Russia,,"Scovell Reserve, Melbourne, Australia"
0,Mar,17,2017,The Sinking Teeth,,"Cherry Bar, Melbourne, Australia"
0,Mar,17,2017,Skegss,2017 Summer Tour,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,17,2017,Spiderbait,Ivy and the Big Apples Live,"Corner Hotel, Melbourne, Australia"
0,Mar,16,2017,The Cherry Dolls,,"Corner Hotel, Melbourne, Australia"
0,Mar,16,2017,Dune Rats,The Kids Will Know It's Bullshit,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,16,2017,The Gooch Palms,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,16,2017,Kingswood,,"Triple M Studios, Melbourne, Australia"
0,Mar,16,2017,Skegss,2017 Summer Tour,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,16,2017,Spiderbait,Ivy and the Big Apples Live,"Corner Hotel, Melbourne, Australia"
0,Mar,16,2017,Violent Femmes,Australia All Over 2017,"Hamer Hall, The Arts Centre, Melbourne, Australia"
0,Mar,15,2017,Kapela ze Wsi Warszawa,,"Unknown Venue, Melbourne, Australia"
0,Mar,15,2017,Meshuggah,2016/2017 World Tour,"170 Russell, Melbourne, Australia"
0,Mar,15,2017,Willie Watson,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Mar,14,2017,Meshuggah,2016/2017 World Tour,"170 Russell, Melbourne, Australia"
0,Mar,14,2017,Thy Art Is Murder,,"170 Russell, Melbourne, Australia"
0,Mar,13,2017,Bazzookas,,"Bar Open, Melbourne, Australia"
0,Mar,13,2017,Teenage Fanclub,,"Corner Hotel, Melbourne, Australia"
0,Mar,12,2017,Clare Bowditch,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,12,2017,The Damned,40th Anniversary Tour,"170 Russell, Melbourne, Australia"
0,Mar,12,2017,Frightened Rabbit,Painting of a Panic Attack Tour,"Corner Hotel, Melbourne, Australia"
0,Mar,12,2017,Icehouse,40 Years Live,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,12,2017,Marshmello,,"Prince Bandroom, Melbourne, Australia"
0,Mar,12,2017,Polaris,,"PLASTIC, Melbourne, Australia"
0,Mar,12,2017,James Reyne,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,12,2017,Thirsty Merc,Shifting Gears Tour,"Chelsea Heights Hotel, Melbourne, Australia"
0,Mar,12,2017,Void of Vision,Spring 2017,"PLASTIC, Melbourne, Australia"
0,Mar,11,2017,Boy & Bear,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,11,2017,I Built the Sky,The Sky Is Not The Limit,"The Workers Club, Melbourne, Australia"
0,Mar,11,2017,Tim McMillan,,"The Workers Club, Melbourne, Australia"
0,Mar,11,2017,James Vincent McMorrow,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Mar,11,2017,The Omnific,,"The Workers Club, Melbourne, Australia"
0,Mar,11,2017,San Cisco,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,11,2017,The Searchers,,"Crown Casino, Melbourne, Australia"
0,Mar,11,2017,Amy Shark,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,11,2017,The Specials,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,11,2017,Storm the Sky,,"Evelyn Hotel, Melbourne, Australia"
0,Mar,11,2017,Teenage Fanclub,,"Corner Hotel, Melbourne, Australia"
0,Mar,11,2017,Thirsty Merc,Shifting Gears Tour,"Shoppingtown Hotel, Melbourne, Australia"
0,Mar,10,2017,Justin Bieber,Purpose World Tour,"Etihad Stadium, Melbourne, Australia"
0,Mar,10,2017,Daryl Braithwaite,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,10,2017,Ceres,'91 Your House Tour,"Howler, Melbourne, Australia"
0,Mar,10,2017,Dead Letter Circus,The Endless Mile Tour - Re-Imagined Beginnings,"Max Watt's House of Music, Melbourne, Australia"
0,Mar,10,2017,John Farnham,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,10,2017,Martin Garrix,Purpose World Tour,"Etihad Stadium, Melbourne, Australia"
0,Mar,10,2017,Margaret Glaspy,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,10,2017,Alice Ivy,,"Corner Hotel, Melbourne, Australia"
0,Mar,10,2017,Joyride,,"Corner Hotel, Melbourne, Australia"
0,Mar,10,2017,Jess Locke,,"Howler, Melbourne, Australia"
0,Mar,10,2017,James Vincent McMorrow,,"Elisabeth Murdoch Hall, Melbourne Recital Centre, Melbourne, Australia"
0,Mar,10,2017,Thirsty Merc,Shifting Gears Tour,"The Commercial Hotel, Melbourne, Australia"
0,Mar,10,2017,Urthboy,Crushing Hard Tour,"Corner Hotel, Melbourne, Australia"
0,Mar,10,2017,Kurt Vile,,"Northcote Social Club, Melbourne, Australia"
0,Mar,10,2017,Martha Wainwright,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,10,2017,Ross Wilson,,"Royal Botanic Gardens, Melbourne, Australia"
0,Mar,9,2017,Luke Howard,,"Salon, Melbourne Recital Centre, Melbourne, Australia"
0,Mar,9,2017,Amanda Palmer,An Evening With Amanda Palmer,"The Gasometer Hotel, Melbourne, Australia"
0,Mar,9,2017,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & the Night Sweats 2017 Tour,"Seaworks Maritime Precinct, Melbourne, Australia"
0,Mar,9,2017,Tegan and Sara,Love You to Death,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,8,2017,The East Pointers,2017 Australian Autumn Tour,"The Toff in Town, Melbourne, Australia"
0,Mar,8,2017,Margaret Glaspy,,"Northcote Social Club, Melbourne, Australia"
0,Mar,8,2017,Don Henley,2017 World Tour,"Rod Laver Arena, Melbourne, Australia"
0,Mar,8,2017,Jewel,,"Rod Laver Arena, Melbourne, Australia"
0,Mar,8,2017,The Peep Tempel,,"John Curtin Hotel, Melbourne, Australia"
0,Mar,8,2017,Sublime with Rome,,"170 Russell, Melbourne, Australia"
0,Mar,8,2017,Thunder,Rip It Up,"Corner Hotel, Melbourne, Australia"
0,Mar,7,2017,Cursed Earth,,"170 Russell, Melbourne, Australia"
0,Mar,7,2017,Fallujah,,"170 Russell, Melbourne, Australia"
0,Mar,7,2017,Killswitch Engage,Alive or Just Breathing 15 Year Anniversary,"170 Russell, Melbourne, Australia"
0,Mar,7,2017,Tinie Tempah,2017 Australian Tour,"Prince Bandroom, Melbourne, Australia"
0,Mar,6,2017,Fallujah,,"The Workers Club, Melbourne, Australia"
0,Mar,5,2017,Cursed Earth,,"170 Russell, Melbourne, Australia"
0,Mar,5,2017,Fallujah,,"170 Russell, Melbourne, Australia"
0,Mar,5,2017,Killswitch Engage,Alive or Just Breathing 15 Year Anniversary,"170 Russell, Melbourne, Australia"
0,Mar,5,2017,Melbourne Ska Orchestra,,"The Factory Theatre, Sydney, Australia"
0,Mar,5,2017,The Murlocs,,"Margaret Court Arena, Melbourne, Australia"
0,Mar,5,2017,Pixies,Head Carrier,"Margaret Court Arena, Melbourne, Australia"
0,Mar,4,2017,Bastardizer,,"Croxton Park Hotel, Melbourne, Australia"
0,Mar,4,2017,Carus,,"The Workers Club, Melbourne, Australia"
0,Mar,4,2017,Cursed Earth,,"Wrangler Studios, Melbourne, Australia"
0,Mar,4,2017,Enlight,,"Anzac Park, Craigieburn, Australia"
0,Mar,4,2017,Glass Ocean,,"Anzac Park, Craigieburn, Australia"
0,Mar,4,2017,Hollow Coves,Wanderlust Tour,"Wesley Anne, Melbourne, Australia"
0,Mar,4,2017,Christie Lamb,,"Newport Bowls Club, Newport, Australia"
0,Mar,4,2017,Bob Log III,,"Noisy Ritual Urban Winery, Melbourne, Australia"
0,Mar,4,2017,The Murlocs,,"Margaret Court Arena, Melbourne, Australia"
0,Mar,4,2017,Pixies,Head Carrier,"Margaret Court Arena, Melbourne, Australia"
0,Mar,4,2017,Russia,,"The Reverence Hotel, Melbourne, Australia"
0,Mar,4,2017,Mick Turner,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,4,2017,Kurt Vile,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,3,2017,Chain,,"Caravan Music Club, Melbourne, Australia"
0,Mar,3,2017,Gabriella Cohen,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,3,2017,Grinding Eyes,,"Corner Hotel, Melbourne, Australia"
0,Mar,3,2017,Lazertits,,"Corner Hotel, Melbourne, Australia"
0,Mar,3,2017,The Living End,Staring Down The Highway,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,3,2017,My Dynamite,,"Cherry Bar, Melbourne, Australia"
0,Mar,3,2017,Spiderbait,Ivy and the Big Apples Live,"Corner Hotel, Melbourne, Australia"
0,Mar,2,2017,Bitch Diesel,,"Corner Hotel, Melbourne, Australia"
0,Mar,2,2017,Gabriella Cohen,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,2,2017,The Living End,Staring Down The Highway,"Royal Melbourne Zoo, Melbourne, Australia"
0,Mar,2,2017,Spiderbait,Ivy and the Big Apples Live,"Corner Hotel, Melbourne, Australia"
0,Mar,1,2017,LANY,The LANY Tour,"Howler, Melbourne, Australia"
0,Feb,28,2017,Animals as Leaders,,"170 Russell, Melbourne, Australia"
0,Feb,28,2017,Big Thief,Masterpiece,"Northcote Social Club, Melbourne, Australia"
0,Feb,28,2017,Plini,The Madness of Many Tour,"170 Russell, Melbourne, Australia"
0,Feb,27,2017,Lowtide,,"Northcote Social Club, Melbourne, Australia"
0,Feb,26,2017,Big Thief,Masterpiece,"John Curtin Hotel, Melbourne, Australia"
0,Feb,26,2017,Camp Cope,East Coast Tour 2017,"National Gallery of Victoria, Melbourne, Australia"
0,Feb,26,2017,Holy Holy,,"Northcote Social Club, Melbourne, Australia"
0,Feb,26,2017,Ocean Sleeper,,"Wrangler Studios, Melbourne, Australia"
0,Feb,26,2017,Porter Robinson & Madeon,,"Hisense Arena, Melbourne, Australia"
0,Feb,25,2017,Baby Animals,,"Max Watt's House of Music, Melbourne, Australia"
0,Feb,25,2017,Enlight,Voices Australian Tour,"The Workers Club, Melbourne, Australia"
0,Feb,25,2017,Killing Heidi,2016/17 Reunion,"Royal Melbourne Zoo, Melbourne, Australia"
0,Feb,25,2017,Like Torches,2017 Australian Tour,"Corner Hotel, Melbourne, Australia"
0,Feb,25,2017,Abbe May,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Feb,25,2017,The Sinking Teeth,,"The Old Bar, Melbourne, Australia"
0,Feb,25,2017,Yellowcard,The Final World Tour,"Corner Hotel, Melbourne, Australia"
0,Feb,24,2017,Baby Animals,,"Corner Hotel, Melbourne, Australia"
0,Feb,24,2017,Big Thief,Masterpiece,"Royal Melbourne Zoo, Melbourne, Australia"
0,Feb,24,2017,Human Resource,,"The Tote Hotel, Melbourne, Australia"
0,Feb,24,2017,Kallidad,,"Bar Open, Melbourne, Australia"
0,Feb,24,2017,Kollaps,,"The Tote Hotel, Melbourne, Australia"
0,Feb,24,2017,Like Torches,2017 Australian Tour,"Max Watt's House of Music, Melbourne, Australia"
0,Feb,24,2017,Sodastream,,"Northcote Social Club, Melbourne, Australia"
0,Feb,24,2017,Warpaint,,"Royal Melbourne Zoo, Melbourne, Australia"
0,Feb,24,2017,Yellowcard,The Final World Tour,"Max Watt's House of Music, Melbourne, Australia"
0,Feb,23,2017,Kid Ink,,"Prince Bandroom, Melbourne, Australia"
