FullName,daao_bios
Bea Maddock,"
Tasmanian born artist mainly known as a printmaker, Bea Maddock also worked in painting, drawing and photography.
Beatrice Louise Maddock was born in Hobart, Tasmania, in 1934. Beatrice and her twin sister, Frances, were the youngest of the four children of two amateur artists, Henry Mervyn Maddock, an Anglican clergyman, and Thelma Annie. The family lived in various country parishes of Tasmania.
In 1956, Maddock graduated with a Fine Art degree from the Hobart Technical College where she had studied part-time under Jack Carington Smith, Dorothy Stoner, Jack Koskie and Stephen Walker. During her studies, she worked at the Visual Aids Centre at the Tasmanian Education Department. Maddock taught in high schools while studying art education at the University of Tasmania. Artist and former teacher Jack Carington Smith encouraged her to apply to the Slade School of Art in London. She was accepted, and left in 1959 to pursue postgraduate painting and printmaking with William Coldstream, Anthony Gross (etching) and Ceri Richards (lithography).
During her European journey, she traveled in Scotland, England, France, Holland, Italy, and Germany. She studied at the Academi de Bell Arti in Perugia, Italy, on a one-month scholarship. She went to churches and sketched in notebooks, observing Masaccio’s paintings and other religious sculptures. Because of the language barrier and the poor teaching at the provincial school, Maddock and her fellow student Murray Walker quit the classes to spend most of their time in the landscape. Maddock found great interest and inspiration in the art and landscape of Umbria and Tuscany. She painted works like Italian landscape (1961) outdoors on small canvases she carried. At the Slade School, she had been criticized for drawing too well and using too many colours, a palette she had been taught in Tasmania. After mainly working in tones of green, her Italian experience diversified her palette again. In Paris, she was impressed by the works of Georges Rouault, the French Fauvist and Expressionist painter and printmaker. Her print works at the Slade, like her 1960 Self-portrait , were influenced by Rouault’s emphatic gestures and strong black outlines. She admired German Expressionism in Munich and Essen, and would later study German Expressionist prints at the National Gallery of Victoria Print Room when living in Melbourne in 1964. Maddock travelled back to Australia by boat in 1961, stopping in Bombay, India. There, she was deeply confronted by the poverty, and she considered her experience in India as a milestone.
Upon her return to Australia, Maddock spent two years in Launceston, studying ceramics, teaching, painting, and printing. In 1964, she had her first solo exhibition in Launceston: Paintings, Drawings, and Prints by Bea Maddock. She then moved to South Melbourne, where she worked in a furniture factory to make ends meet. The city influenced her Figure series, which she would work on until 1968. Maddock moved back to Launceston in 1965 to teach ceramics, printmaking, drawing and basic design. Even after she moved, her works were still based on her Melbourne experience.
Bea Maddock won many prizes including the Tasmanian Drawing Prize in 1968, with Figure in a place , and the F.E. Richardson Print Prize in 1969, with Midnight (part of the Day series).
By the late 1960s, the artist established herself as a printmaker and in 1970, the National Gallery of Victoria Art School in Melbourne invited Maddock to teach printmaking. There, she was also able to dedicate time to her own work with the advanced printmaking technology, and started making photo-screenprints and photo-etchings. Her promotion of these two practices through teaching was extremely important in Australian art schools. In 1973, Maddock was appointed Senior Lecturer in Printmaking at the Victorian College of the Arts (formerly National Gallery of Victoria Art School).
During the 1970s Maddock worked mainly in series which paralleled the sequential nature of newspapers, as she was commenting in her work on the omnipresence of mass media. She used newspaper clippings and other found materials in her work, like the photograph of a criminal in a local newspaper she used in the photo-etching Philosophy I (1972).
In 1974, she won the 4th prize at the International Print Biennale in Poland for the photo-etching Square (1972) and received her first commission, from the Print Council of Australia, to produce a member print. A Creative Arts Fellowship at the Australian National University of Canberra allowed her to spend all of 1976 on her own work. She then received a Commission (1977) from the Visual Arts Board for the VIIth International Exhibition in New Delhi, for which she produced ten prints – the Journey series, Four by Two , and Two by Two . The same year, the Commonwealth Games Print Portfolio in Edmonton, Canada, commissioned her to produce a print. She traveled to Canada, then the United States, where she saw the work of Jasper Johns at the Whitney Museum of American Art, a Paul Cezanne exhibition at the MOMA and other public collections in New York. Jasper Johns and Andy Warhol were important influences on Maddock’s work, with their extensive use of serial imagery, grid format, and photography. Numeral 1 (1984) is an example of one of Maddock’s responses to Jasper Johns’ serial work.
From 1979-80, she was Acting Dean at the Victorian College of the Arts and worked on a commission of twelve encaustic panels for the High Court of Australia, Canberra. She resigned from her Senior Lectureship at the Victorian College of the Arts in 1981, and became part-time lecturer at the Bendigo College of Advanced Education in 1982. Living in Macedon, Maddock created the Access Studio, a space for ex-students to use. Sadly, the 1983 Ash Wednesday bush fires destroyed Maddock’s Macedon studio and house. (She would later recreate the Access Studio at the Red Lion paper mill in Dunolly.)
Maddock toured New Zealand and gave lectures, along with her exhibition Bea Maddock Prints 1960-1982. She returned to teaching in Launceston, Tasmania, for one year until 1984, when she resigned from teaching altogether in order to devote herself entirely to her own work. Maddock had always had a strong desire to educate, but she knew that time consuming teaching was incompatible with her career. The following year, she was appointed member of the Council of the Australian National Gallery and was also Chairperson of Ritchies Mill Arts Centre in Launceston.
In 1987, the Artists in Antarctica Program invited Maddock on a trip to Antarctica. It inspired her Forty Pages from Antarctica , a suite of etchings. That year, she also produced, under the commission of the Australian National Gallery, the encaustic panels We live in the meanings we are able to discern for the ANZ Bicentennial Art Commission.
Text is a feature of Maddock’s visual language. The Parliament House Construction Authority commissioned Maddock to design two posters using quotes chosen by historian Manning Clark. Completed in 1989 for the Manton exhibition, Queensland Art Gallery, the four panel encaustic painting Tromemanner – forgive us our trespass is a good example of the importance of words in Maddock’s art.
Maddock’s work is held in the collections of the Australian National Gallery in Canberra, all State galleries and other collections in Australia, the Museum of Modern Art in New York, and the National Gallery in Washington.
Maddock is a Member of the Order of Australia.


"
Guy Maestri,"
Guy Maestri was born in Mudgee, New South Wales, in 1974. He completed a Bachelor of Fine Arts (Honours) in painting at the National Art School (NAS), Sydney, in 2002 and in the same year was Highly Commended in the Brett Whiteley Travelling Art Scholarship exhibition. He received the commendation again in 2003, a year that also saw him win the NAS Paris Studio Award residency and the William Fletcher Fellowshi
As a landscape painter, Maestri is gestural, abstract and experimental. Although upon occasion he makes sculptures, such as the resin cane toads which feature in his work Unnatural Selection (2008), he finds painting a more satisfying medium as it is more immediate than the time consuming process of moulding and casting sculpture. Maestri regards his portrayal of the natural world as more instinctive than deliberate. Having grown up in the Australian countryside, he enjoys capturing observations of wildlife, noting at the same time humanity’s impact on the natural environment. Painting from his studio in the Sydney suburb of Chippendale, Maestri works from his memories and experiences of regional Australia.
His Field Studies (2008) series explores the gradual elimination of certain features from the natural world. Not only does Maestri often paint endangered species but, within the one work, he can repeat a species form over and over until the “confident tracing of a shape appears lost through repetition” (Chow 2008). In Gang Gang (2007), he chooses not to depict a bird literally, but to capture a sense of the creature by allowing the image to emerge and disappear through layering.
Maestri’s 'Natural Selection’ exhibition of 2008 was a series of paintings that resulted from his visit to a friend’s farm in Victoria. Affected by the degraded and dry land, he painted abstract landscapes and made use of found objects he brought back to his studio. The Darwinian title to the exhibition is intrinsically linked to related ideas in Maestri’s work: he is interested in the way native and introduced species interact, the theory of natural selection, extinction, ecosystems, erosion, sedimentation, forgetfulness and memory.Once a year Maestri steers himself away from the natural environment to paint a portrait for the Archibald Prize. Having being rejected eight times, then winning the People’s Choice Award at the 2001 Salon des Refuses, in 2009 Maestri won the Archibald Prize. His winning entry was a portrait of blind Indigenous singer Geoffrey Gurrumul Yunupingu, which Maestri painted after being moved by Yunupingu’s performance at the Peats Ridge Festival in 2008. Maestri took the opportunity to meet Yunupingu at the airport, where he drew sketches and took a photograph. From this experience Maestri “got a sense of his presence and this determined the nature of the portrait: quiet and strong” (Art Gallery of New South Wales 2009).For Maestri the Archibald Prize, “kick started a whole new way of approaching painting,” (Maestri in Droll 2009). His focus shifted from local environment to global, from abstract to figurative, and from a colourful to a monochromatic palette. Referencing images taken from the web, his 2009 show at Tim Olsen Gallery, 'Google Earth’, included observations of humanity’s struggles with mortality and interrelated concerns about the effects of global warming on nature. Maestri has had numerous solo exhibitions in Australia and has also exhibited internationally in the United Kingdom and the United States and Hong Kong. He was a finalist in the 2007 and 2008 Dobell Drawing Prize.


"
Marguerite Henriette Mahood,"
painter, ceramic and metalwork artist, cartoonist, illustrator, lecturer and art historian, was born in Richmond, Victoria, on 29 July 1901, daughter of Henry Callaway and Marguerite, née Deschamps. After attending the Presbyterian Ladies College, she studied drawing at the National Gallery School in 1916-20 under Frederick McCubbin and W.B. McInnes, then undertook an Applied Arts course at the Melbourne Working Men’s College (RMIT) and studied independently with Leslie Wilkie.
She returned to RMIT in 1930 in order to study ceramic techniques under Gladys Kelly. This was unsatisfactory, so she taught herself from books, producing her first ceramic works in 1931. They were fired in a coke kiln built by her husband, Thomas Orrock Mahood, an engineer and her 'life-long collaborator and co-worker’, whom she married in 1923. Their son, Martin, was born in 1938 but died soon afterwards.
From 1918, when she showed illustrations for a memorial volume of Adam Lindsay Gordon’s poems and other drawings, Mahood exhibited decorative art nouveau watercolours with the Victorian Artists’ Society (VAS) and produced linocuts in the 1920s. Throughout the 1930s and 1940s she had successful solo exhibitions of her ceramic plaques, masks and figures in Melbourne and one (in 1947) at the David Jones Gallery, Sydney. She identified her ceramic work with her monogram and dated it with a letter code, beginning with 'A’ for the first year of production (1931).
Mahood continued to exhibit with the VAS – now showing ceramic pieces – as well as with the Arts and Crafts Society of Victoria (1933-34) and the Melbourne Society of Women Painters and Sculptors of which she was a member from 1927; she showed linocuts of animals at its exhibitions in the late 1950s. In 1956 her ceramic work was shown in the Melbourne Olympic Games Women’s Art Exhibition, including one of her masks, Splendour (Shepparton AG). All her female masks, she said, were based on Marlene Dietrich.
As 'Margot’ Mahood she also became known as a cartoonist and illustrator, beginning with a series of humorous natural history pictorial features in the 'Wild Life’ section of the Herald and Weekly Times in 1944 which continued for eight years. Bim in the Bush , Bim and His Friends and Bim at Bimbang Junction appeared in 'Wild Life’, Tim the Terrier in 'Our Women’ and The Scientific Adventures of Professor Smeebolger in 'Australian Boy’. Pinknose the Possum and The Sandmans were published in the Age . Her book, The Whispering Stone , also appeared in 1944. A primer, Drawing Australian Animals , was published in 1952.
She ran a screen-printing firm in 1947-51, and she also produced oil paintings such as a haunting image of a young urban Aboriginal woman, The Disinherited (c.1945, Deutscher Fine Art), in which the social realist attitudes that also made her a member of the Communist Party are most obvious.
Late in life (1970) she was awarded a PhD from the University of Melbourne for her thesis on nineteenth-century political cartoons, published as The Loaded Line in 1973 and still the standard reference. She also contributed entries on cartoonists to Joan Kerr’s Dictionary of Australian Artists’ project, most of which were published in the pre-1870 volume in 1992. She was working on a book on the development of Melbourne social and political life as seen in cartoons when she died in 1989, aged 88.


"
Dusan Marek,
Mandy Martin,"
Mandy Martin who first emerged as a political activist printmaker and painter, was born in Adelaide in 1952, the daughter of Peter Martin, a professor of Botany and Beryl Martin, a watercolor painter. She first studied at the South Australian School of Art from 1972 to 1975. She first came to prominence as one of the political activists in the Women’s art movement, and exhibited in Fantasy and Reality, alongside Jude Adams, Frances Phoenix and Toni Robertson. Her feminism was very much tinged with political activism. Some of her early works included posters against the Vietnam War and other acts of American imperialism. Along with fellow artists Ann Newmarch and Robert Boynes she became one of the activist of the Progressive Art Movement.After she moved to Canberra with her first husband, the artist Robert Boynes, she taught at the Canberra School of Art at the Australian National University from 1978 until 2003. In 1995 she relocated to Mandurama in rural New South Wales. She continued her close association with ANU, so much so that on her departure she was  appointed a Fellow of the University until 2008 when she became Adjunct Professor at the Fenner School of Environment and Society, a position she held until 2018. The new appointment reflected the change in the focus of her art as she moved from a tough political and social critique to an equally rigorous commentary on how out fragile environment suffers from both climate change and mining.Many of her large-scale paintings served as a critique of the degradation of the land in both rural and urban Australia. In 1988, Red Ochre Grove, which has been described by Sasha Grishin as “an apocalyptic intense landscape”, was commissioned for the main committee room at the new Australian Parliament House.In 2017 a touring exhibition of her paintings demonstrated the fragility of land damaged by coal mining and poor management.Her later works included large scale installations, made in collaboration with her son, Alexander Boynes.


"
Ricky Maynard,"
Ricky Maynard, photographer, was born in Launceston, Tasmania in 1953. A descendant of the Big River and Ben Lomond people, in 2007 the artist was based on Cape Barren Island, off the north east coast of Tasmania. Maynard developed a fascination for photography early in life when, at the age of 16, he was employed as a darkroom technician working with aerial photographs at a processing business in Melbourne. Starting with this formative experience, Maynard’s practice has been underpinned by a thorough technical knowledge of chemistry and photographic optics, honed through further periods of study and employment. These included a three year traineeship as a photographer at the Australian Institute of Aboriginal and Torres Strait Islander Studies in Canberra from 1983, and a year’s study at the International Centre for Photography in New York in 1990, funded by a grant from the Aboriginal and Torres Strait Islander Arts Board of the Australia Council for the Arts. Maynard has worked as a photographer’s assistant at the Antarctic Division in Kingston, Tasmania and as a part time photographic teacher at Hobart Technical College. He was also a founding member of M.33 Photoagency in Melbourne. Maynard’s career as a documentary photographer gained momentum in 1985 when he was commissioned, along with 19 other photographers, to contribute work to the After 200 years project. Established in the lead up to Australia’s bicentenary, the project’s aim was to make possible new approaches to representing Aboriginal people, who historically had so often been the subject of negative and parochial photographic portrayals. Maynard chose to document the lives of members of his community in Tasmania during the mutton birding season, and the result was the Moonbird People (1985-88) series. The spirit of this project, particularly its emphasis on empowering the subject to direct the photographic process, was highly formative of Maynard’s approach to the craft. Maynard remains committed to a humanist approach to documentary photography whereby the objective is not merely to record social life, but to bring compassion, dignity and honesty to the exchange between photographer and subject, and to treat photography as a means of communication that can potentially bring about social change. In Maynard’s words:  'Standard photographic technique is essentially an act of subjugation, in which people are invariably reduced to objects for the use of the photographer. To build an alternative practice, a convivial photography, we need to abolish this oppressive relationship. Co-authorship must be established beforehand. It is impossible to fight oppression by reproducing it’ (Museum of Contemporary Art media release, 2005).  Maynard’s work to date has consistently affirmed this philosophy. For example, the No More Than What You See series (1993) resulted from a commission from the South Australian Department of Correctional Services to coincide with the Year of Indigenous Peoples and to engage with the concerns raised by the 1988 Royal Commission into Aboriginal Deaths in Custody Report. The series, which documented the lives of Aboriginal prisoners in South Australian gaols, was first exhibited at Stills Gallery in Sydney and established Maynard’s ongoing representation by the gallery. In 1994 it was awarded the Mother Jones International Documentary Award, and in 1997 it won the Australian Human Rights Award for Photography. In 2000 Maynard collaborated with writer Tony Birch to produce the publication Reversing the Negatives: a Portrait of Aboriginal Victoria, and this collection of work was exhibited at Gasworks, Melbourne in 2001. The series Returning to Places that Name Us (2000), which was awarded the 2003 Kate Challis RAKA Award, consists of five large scale, intimate portraits of Wik elders. As with all of Maynard’s work, the images resulted from a patient, respectful and collaborative period of association with the subjects, and sought to compel viewers to reflect upon the faces of those whose identity in the public eye had become somewhat reified by the politics surrounding the High Court 'Wik decision’ (1996), which recognised the survival of their native title rights over pastoral land in the Cape York Peninsular. His most recent series Portrait of a distant land (2005 – 2007) consists of photos taken in Tasmania compiled over the 20 years of his practice, and is partly concerned with undermining the robust myth that Tasmania’s Aboriginal population did not survive colonisation. The series presents an environment humanised by a resilient Aboriginal presence, depicting sites whose significance derives from a range of historical, ceremonial and cultural heritage narratives conveyed by his community’s oral history. In 2005 images from this series were enlarged to a grand scale for display on billboards around Sydney as part of the exhibition 'Interesting times: Focus on Contemporary Australian Art’ curated by the MCA in Sydney. The billboard series toured to the Ten Days on an Island Festival, Tasmania and the Busan Biennale in Korea in 2006. The Portrait of a distant land series was also included in the inaugural National Indigenous Art Triennial 'Culture Warriors’ at the National Gallery of Australia (2007/2008) and the inaugural Photoquai biennale in Paris (2007).  Other significant national and international group exhibitions Maynard has participated in include: 'Urban Focus: Aboriginal and Torres Strait Islander Art from the Urban Areas of Australia’ at the NGA (1994); the 'World Retrospective on Documentary Photography’ at the Centro de la Imagen, Mexico City (1995); the Festival of the Dreaming Olympic Arts Festival, Casula Powerhouse Sydney (1997); 'Re-take: Contemporary Aboriginal &amp; Torres Strait Islander Photography’ at the NGA (1999); and 'Our Place: Indigenous Australia Now’, at the Cultural Olympiad of the Athens Olympics Games, Benaki Museum, Athens (2004). Maynard has also had numerous solo exhibitions across Australia, and his work is included in most major state gallery collections.


"
Tony McGillick,"
Tony McGillick is important in Australian art both as a driver behind the eponymous Central Street Gallery and for his paintings. Influenced by hard edge American abstraction, McGillick’s colour field paintings were seen as the forefront of the internationalism of Australian art replacing earlier parochial movements.
Named after two of his then communist parents’ heroes, Antonov Carlyle McGillick was born in Sydney in 1941. Later in life, Tony (as he was known) said “My childhood was very happy” (Tony McGillick quoted in Throsby and McCarter, 1992, p. 60). He wandered around Kings Cross barefoot, played in Trumper Park and caught the tram to swim at Redleaf Pool in Double Bay, Sydney.
In 1958 he started studying at the Julian Ashton Art School. McGillick also worked in advertising which he continued to do for the rest of his life.
In 1960 he went to London where he stayed for six years. During this period, McGillick participated in group exhibitions in London, Edinburgh and Frankfurt. After a short period in New York, he returned to Sydney in 1965.
McGillick’s pivotal period was the Central Street years. In April 1966, together with Harold Noritis and John White (his half-brother), he opened Central Street Gallery. This was Sydney’s first 'white box’ gallery and while a diverse group of artists exhibited there, many were 'colour field’ painters. He had a joint exhibition with Roy Harpur and Rollin Schlicht in August/September 1966 and in 1968, his first one-man exhibition which was also shown at Pinacotheca in Melbourne. While McGillick’s paintings could appear to be simple areas of colour, there was much more to them. On his studio wall he had a postcard of Titian’s work A Man with a Quilted Sleeve . He drew the outline of a five sided geometric shape based on the sleeve. This is the shape of each panel in Jasper’s Gesture . This work is held in the collection of the Art Gallery of New South Wales, Sydney.
In 1968, he exhibited in 'The Field’ at the National Gallery of Victoria, Melbourne, which was later shown in Sydney. This exhibition introduced McGillick’s work to a wider public.
In 1970, Central Street Gallery closed but the space continued to be used by the Institute of Contemporary Art for exhibitions. In 1971, he was involved in the magazine, Other Voices .
McGillick continued to participate in various group exhibitions until 1973 but largely stopped exhibiting. He continued to paint and unstretched draped canvas works replaced his irregularly shaped geometric canvases.
In 1978, he had a one-man exhibition at the National Gallery of Victoria, Melbourne, titled 'Survey 6 Tony McGillick’ but after this his work was rarely shown. In 1990 his work was included in the exhibition 'Central Street – An exhibition of selected paintings’ at the Charles Nodrum Gallery in Melbourne which was also shown at Sydney’s Ray Hughes Gallery in 1991. In the catalogue essay, McGillick was described as the “main source of (Central Street’s) intellectual and physical energy” (McGillick, 1990).
In the early 1990s, McGillick started to think about exhibiting again and was planning an exhibition at Sherman Galleries (Sydney) but this was unrealised due to his sudden death on 3rd November 1992.
Instead in 1993, Sherman Galleries had a memorial exhibition and another one-man exhibition was held at Annandale Galleries in 2000.


"
Queenie McKenzie,
Frank McNamara,"
painter and commercial artist, lived in Hamilton (NSW) and worked as a commercial artist before enlisting in the army in WWII and serving in New Britain as a sergeant in Brigade Intelligence. His paintings had been exhibited in Sydney and one was acquired by the NGV before 1945, when, aged 29, he painted watercolours of jungle warfare in New Guinea and New Britain 'with almost photographic accuracy’.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Clement Meadmore,"
While Clement Meadmore (b. Melbourne, 1929) now enjoys international fame for his sculpture, in the mid-20th century his Australian reputation was centred around his work in furniture. 
Meadmore began tertiary study at the Melbourne Technical College (now the Royal Melbourne Institute of Technology) in 1946.   In 1948, the college became the first in Australia to offer a formal industrial design course to service Victoria’s powerful postwar manufacturing base. Meadmore soon began taking courses in this area of study.   
By 1949, Clement Meadmore was promoting himself as an industrial designer.  By 1952, he had designed his first success – a corded black steel dining chair wrapped with synthetic fibre cord (available in red, blue, green, yellow, black and white) – under the banner of Meadmore Originals, 86 Collins Street, Melbourne.   
Meadmore’s corded dining chair was celebrated, appearing in design features and on magazine covers throughout the 1950s. In 1953, the chair received the “Good Design Award” from the Good Design Society, Sydney.   Marion Hall Best’s showrooms in Woollahra and Rowe Street, Sydney, showed the dining chair (with arms) in saddle leather as well as the coloured cord. A Meadmore corded recliner in the same style appeared in the same year, followed by a dining table with silver ash top in the same style.  It was a productive era for him.
In 1956, he formed a short-lived partnership with Max Robinson (Meadmore & Robinson) and later in the same year he became involved in a celebrated commission with the painter Leonard French for the Legend Espresso and Milk Bar at 239 Bourke Street, Melbourne (demolished 1970).  This cafe, previously known as the Anglo American Milk Bar, was owned by Ion Nicolades, who commissioned Meadmore to design a new interior.  Meadmore invited Leonard French to paint seven panels for the Milk Bar on the theme of the Legend of Sinbad.  The Legend was a deep and narrow interior that Meadmore enhanced by placing mirrors opposite each of French’s paintings. A dramatic terrazzo floor, coloured fibreglass-topped stools, diagonally-hung fluorescent lamps and a window display of a Meadmore-designed sculpture drawn from the silhouette of Sinbad’s ship (as it appeared in French’s painting no. 3) made the Legend one of Melbourne’s most visually exciting cafes.
The Legend reopened at a time when Melbourne, goaded by architect and newspaper columnist Robin Boyd and his sympathisers, struggled to modernise itself for the anticipated international visitors for the 1956 Olympics. 
Victorian industrial designers were rewarded with an inaugural 1956 Melbourne Olympics Arts Festival intended to display the cultural riches of the host nation. It was the first Olympics to incorporate an arts festival rather than art competitions. Major venues were chosen throughout the city to display Australian and Victorian achievements in industrial design, painting, architecture and other media. The Melbourne Technical College (now the Royal Melbourne Institute of Technology) featured graphic and industrial design and included Meadmore’s lighting design amongst designers such as Grant Featherston, Carl Nielsen and Frances Burke.  Unfortunately, Meadmore’s work was not illustrated in the catalogue.
By the later 1950s, Meadmore had begun to actively exhibit his sculpture and move within the Melbourne gallery milieu.     He also came into contact with Max Hutchinson, a commercial furniture manufacturer and designer.  Hutchinson  (1925-99) said in a 1984 interview that Meadmore came to him in 1958 and said, “ '[T]hese artists that you like [to use in interior design commissions], they need an exhibition’,  ... So he ran the Gallery [A] for a couple of years until my accountant said, look, if you go on with this, you’ll be broke in another year.” 
Max Hutchinson went on to found a branch of Gallery A in Sydney before Meadmore encouraged him to migrate to New York City in 1968. One of Meadmore’s first 1959 shows at Gallery A, Melbourne,  featured his own sculpture with a catalogue and  essay  by  Bill Hannan.  The designer also sold a line of  'Gallery A Contract Furniture’ (“Designed to serve the discriminating, by Clement Meadmore for the coordinated series by Gallery A contract furniture.”)   This new work was now fabricated for the commercial furniture market, rather than the domestic consumer.
Although he had been pursuing his sculpture throughout the 1950s, Meadmore vigorously expanded this career in this media in 1960 and moved to Sydney. He exhibited sculpture at Macquarie Galleries and Clune Galleries, Sydney; was awarded  a commission for a sculptured balustrade for the Town House Hotel, Canberra; and briefly taught sculpture at the National Art School, Sydney. 
His industrial design work of the 1950s gave way to sculpture. In 1963, a 13 minute documentary film titled Clement Meadmore was directed by a young Bruce Beresford and narrated by John Bell with a jazz soundtrack by Tony Curby Trio + 1. In this film showing Meadmore at work, the narrator explains that “Meadmore trained as a furniture designer…” and reflects that  “Meadmore has no preconception of final work in his sculpture; he relies on inspiration for final form … The object is created first and then the [public] taste for it… This is the nature of artistic innovation…”.
Meadmore is described by Ken Scarlett in Australian Sculptors 1830-1977 as an Art Director for the fledgling editions of Australian Vogue, first published in Sydney in 1959. But a search through their first quarterly editions from 1959-1963 does not show his name on the masthead and more research is needed in this area. It is possible that he did some design and styling work for them as some of his furniture appears in an issue in the Summer 1960 edition and their Christmas 1961 edition suggests some of Meadmore’s graphic qualities.
In 1963, Meadmore moved to New York. Although his sculpture was foremost after he went to the United States, he maintained his Australian design links through Michael Hirst, a furniture designer and manufacturer working in Melbourne.
Michael Hirst, (b. 1917) ran a factory in Melbourne and remained active in furniture from 1955 to 1983. During this time, Hirst manufactured his own work as well as Meadmore items under the trademark H-Line and H/Flex. He sold through outlets like George’s, Andersons and interior decorators in Melbourne. It is not clear precisely when he began to fabricate Meadmore’s furniture. In a telephone interview in 1997, Michael Hirst explained that he too exhibited some of his design work at Gallery A, Melbourne. Some of Hirst’s work from the late 1950s has stylistic parallels with Meadmore’s work but after he left for Sydney, and later the USA, the influences wane. However, Hirst released a coffee table by Meadmore in 1965, suggesting that their commercial association continued after the designer had moved to the United States.
Although he single-mindedly pursued sculpture in the United States, Meadmore continued his interest in furniture design and in 1974 he published The Modern Chair, an illustrated survey of contemporary furniture from the Thonet Brothers to Mario Bellini.   In his 1974 introduction, Meadmore reveals something of his own aesthetics of furniture. “Each chair…[in this book] has been selected for qualities that we can assess from our standpoint today, qualities which have less to do with style and period than with a solution of a defined problem.  ...[However] Some of the finer adjustments of proportion, left unresolved by the mere solving of functional problems, have often been made with a visual sensitivity which undoubtedly contributes to make a chair a delightful object…”.  
When the book was reissued in 1997, Meadmore pronounced himself disappointed with the designs of the last quarter of the 20th century. “...[W]hen I considered updating the book I realised that I could not think of a single chair to add. I still believe that a designer who is not solving problems is a stylist, and styling is what we have been looking at for the last quarter of the century.’ 
Meadmore’s furniture work studiously avoided  historical references, although there were affinities with the 1950s furniture of the sculpture Isamu Noguchi and other mid-century sculptors who enjoyed exploring spatial problems. Meadmore favoured experimentation in synthetic fibres, plywood, finishes, steel alloys and other metals. It is clear that the designer found the techniques of fabrication interesting only as exercises in problem solving; craft values had no interest for him.  As he states clearly in his book on modern furniture, Meadmore considers that problem solving is at the centre of good furniture design. His design work in Australia suggests that a very interesting furniture designer was lost to sculpture.


"
Danie Mellor,"
Dr Danie Mellor, mixed media/conceptual artist was born in Mackay, Queensland in 1971. He began creating art at the age of 19 when he enrolled at the North Adelaide School of Art, gaining a Certificate in Art in 1991. Mellor then went on to study at the Canberra School of Art, Australian National University (ANU) where he obtained a Bachelor of Arts (Visual) with Honours in 1992 and received the ANU Award in 1994. In 1995 Mellor was accepted into the Birmingham Institute of Art and Design, University of Central England, UK where he gained a Masters in Fine Art in 1996. Mellor completed his study when was awarded a PhD from the School of Art at the National Institute of Art at ANU in 2004.Mellor’s work is varied. He produces landscapes using the mediums of print, drawing and painting but also employs the mediums of ceramics, glass, steel and wood. His work often addresses the entangled histories of Australia’s Indigenous, Colonial and Settler communities and in an interview with the author, Mellor stated that his work “investigates cultural differences in perception and the reading of objects in gallery contexts.”Mellor has participated in many of Australia’s art awards including 2001’s “The Art of Place – the Heritage Commission’s Art Award”, held at Old Parliament House, Canberra; The National Aboriginal and Torres Strait Islander Art Award, held each year at the Museum and Art Gallery of the Northern Territory, Darwin; and the Fremantle Print Prize and Exhibition. In 2003 Mellor’s work was included in the Queensland Art Gallery’s landmark exhibition, “Story Place – the art of Cape York and the Rainforest” and in 2005 curator Felicity Fenner invited Mellor to show several installation pieces in “Primavera” at the Museum of Contemporary Art in Sydney. Mellor exhibited twice in 2006 in the exhibitions “Voyages of Recovery or An Ongoing Catalogue with Moments of Reason from the Cabinet”, Canberra Museum and Art Gallery and “In memories lie fragile dreams” at Solander Gallery, Canberra. Mellor’s work, including the large installation The contrivance of a vintage wonderland (A magnificent flight of curious fancy for science buffs … a china ark of seductive whimsy … a divinely ordered special attraction … upheld in multifariousness), was included in Culture Warriors, the inaugural National Indigenous Art Triennial at the National Gallery of Australia in 2007.Mellor’s most recognised works to date are a 2002 mezzotint engraving titled, Atherton in the Tablelands, another mezzotint engraving from 2003 titled Cyathea Cooperi, an earthenware slip cast dog, Kultur Hund, also 2003 and the Blue and White Kangaroo Series in 2007. His work is included in a number of major national and state collections including the National Gallery of Australia, the Queensland Art Gallery, the National Gallery of Victoria and the Museum and Art Gallery of the Northern Territory among others.Mellor has worked with and been encouraged by a number of notable artists and arts workers including Petr Herel, Diane Fogwell, Djon Mundine, Fiona Foley, Nigel Lendon, Patsy Payne and Michael Eather. At the time of writing Mellor was lecturing at the Sydney College of Art, Rozelle and dividing his time between Sydney and his home in Canberra.


"
Patrick Milligan,"
Image and short biographical entry in Australian Black-and-White Artists Club Book of Originals (1986), AGNSW (178.1988.1-102).
This entry is a stub. You can help DAAO by submitting a biography.


"
Milton Moon,"
This entry is a stub. Please help the DAAO by adding a biography
In 1984 Milton Moon was awarded Member of the Order of Australia (AM) in the Queen’s Birthday Honours for his services to ceramics.  Since then, he has received an Advance Australia Foundation Award (1992) as well as an Australian Artists Fellowship (1994-1998).  Milton Moon has exhibited extensively throughout Australia and overseas, and is represented in public collections around the country.


"
